192.168.0.219 - - [02/Oct/2012:10:52:01 +0200] "POST /SiteWebIF/Intranet-etudiant.php HTTP/1.1" 302 477 "-" "Java/1.6.0_35"
192.168.2.177 - - [02/Oct/2012:10:52:05 +0200] "GET /temps/5IF41.html HTTP/1.1" 304 - "http://intranet-if.insa-lyon.fr/temps/5IF40.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
192.168.7.232 - - [02/Oct/2012:10:52:55 +0200] "GET /SiteWebIF/Intranet-etudiant.php HTTP/1.1" 302 477 "http://if.insa-lyon.fr/" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.3.161 - - [02/Oct/2012:10:53:14 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Mozilla/5.0 (Linux; Android 4.1.1; Nexus S Build/JRO03E) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
192.168.3.161 - - [02/Oct/2012:10:53:14 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Linux; Android 4.1.1; Nexus S Build/JRO03E) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
192.168.14.152 - - [02/Oct/2012:10:54:01 +0200] "GET /temps/5IF41.html HTTP/1.1" 200 23925 "http://intranet-if.insa-lyon.fr/temps/5IF40.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:05 +0200] "GET /temps/5IF42.html HTTP/1.1" 200 20720 "http://intranet-if.insa-lyon.fr/temps/5IF41.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:06 +0200] "GET /temps/5IF43.html HTTP/1.1" 200 12881 "http://intranet-if.insa-lyon.fr/temps/5IF42.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.10.35 - - [02/Oct/2012:10:54:07 +0200] "GET /SiteWebIF/Intranet-etudiant.php HTTP/1.1" 200 1815 "http://if.insa-lyon.fr/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19"
192.168.14.152 - - [02/Oct/2012:10:54:07 +0200] "GET /temps/5IF44.html HTTP/1.1" 200 5207 "http://intranet-if.insa-lyon.fr/temps/5IF43.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:08 +0200] "GET /temps/5IF45.html HTTP/1.1" 200 20894 "http://intranet-if.insa-lyon.fr/temps/5IF44.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:08 +0200] "GET /temps/5IF46.html HTTP/1.1" 200 27259 "http://intranet-if.insa-lyon.fr/temps/5IF45.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:09 +0200] "GET /temps/5IF47.html HTTP/1.1" 200 22107 "http://intranet-if.insa-lyon.fr/temps/5IF46.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:10 +0200] "GET /temps/5IF48.html HTTP/1.1" 200 17673 "http://intranet-if.insa-lyon.fr/temps/5IF47.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:11 +0200] "GET /temps/5IF49.html HTTP/1.1" 200 20517 "http://intranet-if.insa-lyon.fr/temps/5IF48.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:13 +0200] "GET /temps/5IF50.html HTTP/1.1" 200 13261 "http://intranet-if.insa-lyon.fr/temps/5IF49.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.10.35 - - [02/Oct/2012:10:54:15 +0200] "GET /temps/5IF40.html HTTP/1.1" 304 - "http://intranet-if.insa-lyon.fr/temps/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19"
192.168.14.152 - - [02/Oct/2012:10:54:20 +0200] "GET /temps/5IF51.html HTTP/1.1" 200 15498 "http://intranet-if.insa-lyon.fr/temps/5IF50.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.10.35 - - [02/Oct/2012:10:54:21 +0200] "GET /temps/5IF41.html HTTP/1.1" 304 - "http://intranet-if.insa-lyon.fr/temps/5IF40.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19"
192.168.7.232 - - [02/Oct/2012:10:54:21 +0200] "GET /SiteWebIF/Intranet-etudiant.php?ticket=ST-183625-R4PiOK1DGRetWla3tel1-dsi-vm04 HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.7.232 - - [02/Oct/2012:10:54:22 +0200] "GET /SiteWebIF/Intranet-etudiant.php HTTP/1.1" 200 3843 "-" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.7.232 - - [02/Oct/2012:10:54:22 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.7.232 - - [02/Oct/2012:10:54:23 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.14.152 - - [02/Oct/2012:10:54:23 +0200] "GET /temps/5IF52.html HTTP/1.1" 200 5193 "http://intranet-if.insa-lyon.fr/temps/5IF51.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:24 +0200] "GET /temps/index.html HTTP/1.1" 200 6835 "http://intranet-if.insa-lyon.fr/temps/5IF52.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:28 +0200] "GET /notesif HTTP/1.1" 301 248 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.14.152 - - [02/Oct/2012:10:54:28 +0200] "GET /notesif/ HTTP/1.1" 302 - "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.7.232 - - [02/Oct/2012:10:54:35 +0200] "GET /stages/ListePFE.php HTTP/1.1" 200 132291 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.7.232 - - [02/Oct/2012:10:54:36 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.7.232 - - [02/Oct/2012:10:54:36 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Linux; Android 4.0.3; ARCHOS 80G9 Build/MR1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
192.168.1.87 - - [02/Oct/2012:10:56:30 +0200] "GET /temps/TA.ics HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20120428 Thunderbird/12.0.1 Lightning/1.4"
192.168.0.11 - - [02/Oct/2012:10:57:53 +0200] "GET /temps/5IF40.html HTTP/1.1" 200 17042 "http://intranet-if.insa-lyon.fr/temps/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1284.0 Safari/537.13"
192.168.2.63 - - [02/Oct/2012:10:57:55 +0200] "GET /SiteWebIF/Intranet-personnel.php HTTP/1.1" 302 478 "http://if.insa-lyon.fr/" "Mozilla/5.0 (X11; U; Linux x86_64; fr; rv:1.9.1.16) Gecko/20120602 Iceweasel/3.5.16 (like Firefox/3.5.16)"
